Dataset Size, Merge Sort, Quick Sort, Insertion Sort
1000,,,
,12.8568,0.5516,0.5516
,1.9038,0.2291,0.2291
,1.8465,0.2359,0.2359
,1.7088,0.2268,0.2268
,1.946,0.2276,0.2276
,1.7503,0.2441,0.2441
,1.8154,0.2519,0.2519
,1.8029,0.223,0.223
,1.9365,0.2354,0.2354
,1.7564,0.2293,0.2293
,1.9997,0.2436,0.2436
,1.5942,0.2257,0.2257
,1.6461,0.2262,0.2262
,1.6455,0.2332,0.2332
,1.6408,0.2452,0.2452
,1.6422,0.2244,0.2244
,2.1624,0.2892,0.2892
,1.8119,0.2593,0.2593
,1.64,0.2352,0.2352
,1.6926,0.2365,0.2365
,1.5857,0.2206,0.2206
,1.767,0.2335,0.2335
,1.5568,0.2348,0.2348
,1.6439,0.2341,0.2341
,5.8062,0.3287,0.3287
,1.6538,0.2374,0.2374
,1.7802,0.2324,0.2324
,1.6509,0.2569,0.2569
,1.6324,0.2318,0.2318
,1.8034,0.2972,0.2972
,1.7516,0.2339,0.2339
,1.9098,0.235,0.235
,1.7029,0.2356,0.2356
,1.7272,0.2312,0.2312
,1.665,0.2331,0.2331
,1.642,0.2483,0.2483
,1.6361,0.2334,0.2334
,1.6398,0.2321,0.2321
,1.6501,0.2332,0.2332
,1.6491,0.2611,0.2611
,1.6563,0.2326,0.2326
,2.0283,0.2587,0.2587
,2.2666,0.2341,0.2341
,1.7787,0.236,0.236
,2.019,0.2413,0.2413
,1.7892,0.2298,0.2298
,1.9302,0.2295,0.2295
,1.8008,0.2388,0.2388
,1.9617,0.2314,0.2314
,2.3661,0.2365,0.2365
,1.7227,0.239,0.239
,1.9255,0.2341,0.2341
,1.6773,0.2371,0.2371
,2.2797,0.2385,0.2385
,1.6707,0.2429,0.2429
,1.6683,0.2335,0.2335
,1.7556,0.2579,0.2579
,1.6494,0.2348,0.2348
,2.0299,0.3496,0.3496
,1.6864,0.2332,0.2332
,2.2172,0.2736,0.2736
,2.1125,0.2333,0.2333
,2.7712,0.3714,0.3714
,2.7063,0.2542,0.2542
,1.6708,0.2809,0.2809
,1.7433,0.2326,0.2326
,1.7382,0.2338,0.2338
,2.6593,0.2352,0.2352
,1.7775,0.2449,0.2449
,2.0065,0.2352,0.2352
,2.0347,0.2658,0.2658
,1.7314,0.2355,0.2355
,1.7427,0.2448,0.2448
,1.9285,0.2496,0.2496
,2.1182,0.2335,0.2335
,1.7301,0.233,0.233
,1.969,0.2394,0.2394
,1.6938,0.2476,0.2476
,1.8145,0.278,0.278
,2.0805,0.2337,0.2337
,1.6681,0.2326,0.2326
,2.4695,0.2334,0.2334
,1.6904,0.2384,0.2384
,2.2221,0.2695,0.2695
,1.8734,0.2313,0.2313
,1.9196,0.2758,0.2758
,1.6908,0.2331,0.2331
,1.9927,0.2527,0.2527
,3.1291,0.2342,0.2342
,1.7534,0.2331,0.2331
,1.6559,0.2345,0.2345
,1.9806,0.2348,0.2348
,1.6887,1.0104,1.0104
,1.6468,0.236,0.236
,1.8142,0.2343,0.2343
,2.6316,0.2342,0.2342
,1.66,0.2369,0.2369
,1.8707,0.2611,0.2611
,1.7712,0.2421,0.2421
,1.6412,0.2319,0.2319
